分类,篇名,作者/編者/譯者,出處
2,更漏子（玉爐香）,溫庭筠,詞律
2,夢江南（梳洗罷）,溫庭筠,溫庭筠集
2,過零丁洋,文天祥,文山先生全集
2,塞鴻秋·山行警,無名氏,暫時從缺
2,西江月·夜行黃沙道中,辛棄疾,稼軒長短句
2,破陣子（醉裏挑燈看劍）,辛棄疾,稼軒長短句
2,清平樂·村居,辛棄疾,稼軒長短句
2,醜奴兒·書博山道中壁,辛棄疾,稼軒長短句
2,臨江仙（滾滾長江東逝水）,楊慎,中國詩歌寶庫：明清詞曲選
2,小池,楊萬里,誠齋詩集
2,古詩十九首（行行重行行）,佚名,古詩十九首
2,古詩十九首（西北有高樓）,佚名,古詩十九首
2,古詩十九首（迢迢牽牛星）,佚名,古詩十九首
2,古詩十九首（庭中有奇樹）,佚名,古詩十九首
2,遷居,佚名,精選雅笑
2,式微,佚名,詩經‧邶風
2,燕燕,佚名,詩經‧邶風
2,綢繆,佚名,詩經‧唐風
2,采葛,佚名,詩經‧王風
2,木瓜,佚名,詩經‧衛風
2,子衿,佚名,詩經‧鄭風
2,桃夭,佚名,詩經‧周南
2,十五從軍征,佚名,樂府詩集
2,木蘭詩,佚名,樂府詩集
2,江南,佚名,樂府詩集
2,長歌行（青青園中葵）,佚名,樂府詩集
2,敕勒歌,佚名,樂府詩集
2,小重山（昨夜寒蛩不住鳴）,岳飛,岳忠武王集
2,滿江紅（怒髮衝冠）,岳飛,岳忠武王集
2,節婦吟,張籍,中國歷代詩選（中冊）
2,楓橋夜泊,張繼,全唐詩
2,望月懷遠,張九齡,張曲江集
2,天淨沙·魯卿庵中,張可久,小山樂府
2,慶東原·次馬致遠先輩韻,張可久,小山樂府
2,賣花聲·懷古（美人自刎烏江岸）,張可久,元曲三百首箋
2,山坡羊·潼關懷古,張養浩,雲莊休居自適小樂府
2,漁歌子（西塞山前白鷺飛）,張志和,玄真子
2,約客,趙師秀,清苑齋集
2,論詩,趙翼,甌北詩集
2,塞鴻秋·潯陽即景,周德清,暫時從缺
